"gene_id","symbol"
14829,"Grpr"
14852,"Gspt1"
14853,"Gspt2"
14854,"Gss"
14857,"Gsta1"
14858,"Gsta2"
14859,"Gsta3"
14860,"Gsta4"
14862,"Gstm1"
14863,"Gstm2"
14864,"Gstm3"
14865,"Gstm4"
14866,"Gstm5"
14867,"Gstm6"
14869,"Gstp2"
14870,"Gstp1"
14871,"Gstt1"
14872,"Gstt2"
14873,"Gsto1"
14874,"Gstz1"
14884,"Gtf2h1"
14885,"Gtf2h4"
14886,"Gtf2i"
14897,"Trip12"
14913,"Guca1a"
14917,"Gucy2c"
14918,"Gucy2d"
14919,"Gucy2e"
14923,"Guk1"
14924,"Magi1"
14933,"Gk"
14934,"Gypa"
14936,"Gys1"
14938,"Gzma"
14939,"Gzmb"
14960,"H2-Aa"
14961,"H2-Ab1"
14962,"Cfb"
14963,"H2-Bl"
14964,"H2-D1"
14969,"H2-Eb1"
14972,"H2-K1"
14979,"H2-Ke6"
14980,"H2-L"
14985,"H2-M10.1"
14990,"H2-M2"
14991,"H2-M3"
14997,"H2-M9"
14998,"H2-DMa"
14999,"H2-DMb1"
15000,"H2-DMb2"
15001,"H2-Oa"
15002,"H2-Ob"
15006,"H2-Q1"
15007,"H2-Q10"
15013,"H2-Q2"
15015,"H2-Q4"
15018,"H2-Q7"
15019,"H2-Q8"
15024,"H2-T10"
15033,"H2-T18"
15039,"H2-T22"
15040,"H2-T23"
15042,"H2-T24"
15043,"H2-T3"
15051,"H2-T9"
15101,"H60a"
15107,"Hadh"
15108,"Hsd17b10"
15109,"Hal"
15110,"Hand1"
15112,"Hao1"
15114,"Hap1"
15115,"Hars"
15139,"Hc"
15159,"Hccs"
15160,"Serpind1"
15162,"Hck"
15163,"Hcls1"
15165,"Hcn1"
15166,"Hcn2"
15168,"Hcn3"
15170,"Ptpn6"
15171,"Hcrt"
15182,"Hdac2"
15183,"Hdac3"
15184,"Hdac5"
15186,"Hdc"
15200,"Hbegf"
15203,"Heph"
15204,"Herc2"
15205,"Hes1"
15208,"Hes5"
15209,"Hesx1"
