Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
dense_10,2,wfikkn2 rufy4 cbln3 noxa1 dpysl2
dense_1,2,akap3 grin1 acvrl1 she dok7 il18bp oxsm myo1e spire2 ssh2 ido1 lpar4 evx2 tram1l1 apol6 tnfsf11 tcte1 amn trmt5 klhl36 smek2 nr2f1 kctd4 slc17a9 ntrk2 hrk tulp2 cxcl2 traf3ip3 slc35a5 lag3
ppi_60,1,trio cdc5l prpf3 prpf19 plrg1 cetn2 sfi1 naa40 ctnnbl1 setmar cwc15 bcas2 emid1
ppi_59,1,cd46 cd9 cd82 itga7 cd151 itga3 mmp7 ptgfrn clgn adam2 hbegf
ppi_57,1,eif3h eif3a eif3i eif3f eif3l eif3b eif3d eif3c eif3e fbxo32 eif4a2 eif3g eif3k usp3 prrc2b eif1b eif3m tmem203
ppi_41,1,ndufs1 atp5f1 ndufa12 ndufb9 ndufs4 ndufb10 ndufs7 ndufb5 cyc1 msln cox15
ppi_325,1,ripk1 tnfaip3 casp8 tradd tnfrsf1a dedd cflar traf1 fadd nucb2 casp8ap2 casp6 tnfrsf10b pcyt1a fas tnfrsf25 clip3 tnfrsf21 plin4
ppi_301,1,tada2b yeats2 tada2a dr1 kat2a mbip csrp2bp wdr5 zzz3 usp22 dock6 luzp1 drap1 tada3 helt
ppi_280,1,gsn pxn tln1 tgfb1i1 ptk2 vcl bcar1 nedd9 pkd1 nphp1 sele ptk2b git1 ptprh tns1 sorbs1 nrap sh2d3c coro2b
ppi_238,1,ash2l kdm6a chd8 setd1a rbbp5 wdr82 kifc1 wdr5 pygo2 cxxc1 pax7 kdm4b hcfc2 kdm6b ulk3
ppi_227,1,srgap3 wasf1 gas7 dnmbp nckap1 wasf2 abi1 cyfip1 cyfip2 wipf3 vstm2l
ppi_223,1,pdgfra bcar1 nedd9 crkl dock3 crk krt76 shb krt12 rapgef1 cass4 sh3bp1 map4k5 avil
ppi_222,1,cpsf3l ints2 ints3 ints5 ints12 ints7 ints9 ints10 ddx26b ints8 ints4 naif1 ints6
ppi_204,1,mir196b pbx2 pknox1 pbx1 meis2 meis1 hoxd9 hoxa9 hoxb1 hoxd11 tlx1 pknox2 hoxb8
ppi_201,1,cbx4 cbx2 rnf2 cbx8 scmh1 ccdc158 pcgf2 bmi1 pcgf6 phc1 phc3 phc2 ring1 cbx7 pcgf5 pcgf1 fbrs yaf2 zfp42 pcgf3 rybp trank1 ankrd26
ppi_197,1,cyb5b mrps16 mrpl32 nfkbil1 mrps22 mrps26 mrps9 mrpl42 mrps35 mrps28 mrps18b mrps25 mrpl21
ppi_193,1,cpsf3l shfm1 ints2 ints3 ints5 ints12 ints7 ints9 ints10 ints8 ints4 naif1 ints6 sac3d1
ppi_186,1,vamp8 snap25 stxbp1 syt4 stx3 stx2 doc2b doc2a unc13b stx1b cplx2
ppi_133,1,taf3 taf7 taf1 taf11 taf15 taf9 taf6 taf10 taf5 eny2 taf7l taf9b taf5l taf12 taf13 usp22 atxn7l3 supt7l taf2 taf4b taf6l pofut2 ercc1 atxn7l3b taf8
ppi_12,1,arhgap9 mapk3 mapk1 dusp1 rps6ka4 ier3 ptpn7 ptprr mapk14 ptpn5 gmfb dusp6 dusp4 dusp2 dusp5
ppi_107,1,btg2 cnot3 btg3 cnot8 cnot7 cnot2 cnot1 rqcd1 cnot10 cnot6l tnrc6c cnot6 popdc2
